èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20250103,211860,20,10593,53,3997,498,151228,60632,0
20250104,308573,16,19285,70,4408,612,202709,105864,0
20250105,89078,12,7423,24,3711,214,77704,11374,0
20250106,12903,3,4301,6,2150,33,12903,0,0
20250107,63426,7,9060,16,3964,153,33880,29546,0
20250108,109692,6,18282,20,5484,215,47421,62271,0
20250109,152416,15,10161,37,4119,352,71885,80531,0
20250110,341571,22,15525,64,5337,675,200373,141198,0
20250111,353758,30,11791,82,4314,748,280014,73744,0
20250112,424974,11,38634,87,4884,569,353760,71214,0
20250113,200917,17,11818,46,4367,424,97482,103435,0
20250114,76549,7,10935,15,5103,159,31306,45243,0
20250115,140831,9,15647,30,4694,266,67417,73414,0
20250116,96954,6,16159,22,4407,230,33968,62986,0
20250117,365323,18,20295,69,5294,670,190150,175173,-2500
20250118,395257,28,14116,96,4117,784,228812,166445,0
20250119,186880,16,11680,43,4346,418,97725,89155,0
20250120,142318,14,10165,31,4590,338,51458,90860,0
20250121,156112,13,12008,35,4460,369,93478,62634,0
20250122,69388,6,11564,19,3652,161,31592,37796,0
20250123,193401,16,12087,52,3719,404,87306,106095,0
20250124,389878,19,20519,87,4481,629,215612,174266,0
20250125,296472,24,12353,70,4235,685,240108,56364,0
20250126,112181,8,14022,24,4674,167,103304,8877,0
20250127,213367,17,12551,45,4741,397,154781,58586,0
20250128,218151,11,19831,44,4957,485,41437,176714,0
20250129,108892,12,9074,31,3512,205,58916,49976,0
20250130,156789,12,13065,37,4237,257,93022,63767,0
20250131,394457,12,32871,71,5555,560,287246,107211,0
