"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","4月支払金額","5月繰越残高","新規サイン"
"2025/03/31","SUPERULTRA, INC.利用国US","本人","1回払い","1331","0","1331","1331","0","*"
"","現地利用額　　　　　　　　　８．４９０変換レート　１５６．７７３円","","","","","","","",""
"2025/03/31","ﾋﾞ-ﾖﾝｻﾝ","本人","1回払い","85000","0","85000","85000","0","*"
"2025/03/31","ﾏｸﾄﾞﾅﾙﾄﾞﾓﾊﾞｲﾙｵ-ﾀﾞ","本人","1回払い","760","0","760","760","0","*"
"2025/03/31","ｷﾞﾖｳﾑｽ-ﾊﾟ- ﾄﾂｶﾃﾝ","本人","1回払い","861","0","861","861","0","*"
"2025/03/29","APPLE COM BILL","本人","1回払い","7200","0","7200","7200","0","*"
"2025/03/28","APPLE COM BILL","本人","1回払い","2200","0","2200","2200","0","*"
"2025/03/28","APPLE COM BILL","本人","1回払い","4400","0","4400","4400","0","*"
"2025/03/28","ﾖｺﾊﾏｼﾘﾂﾀﾞｲｶﾞｸﾌｿﾞｸ","本人","1回払い","10000","0","10000","10000","0","*"
"2025/03/27","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","10000","0","*"
"2025/03/25","GOOGLE PLAY JAPAN","本人","1回払い","2900","0","2900","2900","0","*"
"2025/03/25","ﾏｸﾄﾞﾅﾙﾄﾞﾓﾊﾞｲﾙｵ-ﾀﾞ","本人","1回払い","710","0","710","710","0","*"
"2025/03/25","ﾄｳｷﾕｳﾌﾟﾗｻﾞ ﾄﾂｶ","本人","1回払い","540","0","540","540","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","1100","0","1100","1100","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","1100","0","1100","1100","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","1100","0","1100","1100","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","1100","0","1100","1100","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","1100","0","1100","1100","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","1100","0","1100","1100","0","*"
"2025/03/24","APPLE COM BILL","本人","1回払い","3300","0","3300","3300","0","*"
"2025/03/24","NOTION LABS, INC.利用国US","本人","1回払い","3755","0","3755","3755","0","*"
"","現地利用額　　　　　　　　２４．２００変換レート　１５５．１６６円","","","","","","","",""
"2025/03/24","APPLE COM BILL","本人","1回払い","150","0","150","150","0","*"
"2025/03/22","WWW.GRAB.COM利用国TH","本人","1回払い","134","0","134","134","0","*"
"","現地利用額　　　　　　　　２９．０００変換レート　　　４．６２１円","","","","","","","",""
"2025/03/22","WWW.GRAB.COM利用国TH","本人","1回払い","46","0","46","46","0","*"
"","現地利用額　　　　　　　　１０．０００変換レート　　　４．６００円","","","","","","","",""
"2025/03/22","WWW.GRAB.COM利用国TH","本人","1回払い","134","0","134","134","0","*"
"","現地利用額　　　　　　　　２９．０００変換レート　　　４．６２１円","","","","","","","",""
"2025/03/22","WWW.GRAB.COM利用国TH","本人","1回払い","134","0","134","134","0","*"
"","現地利用額　　　　　　　　２９．０００変換レート　　　４．６２１円","","","","","","","",""
"2025/03/22","WWW.GRAB.COM利用国TH","本人","1回払い","2178","0","2178","2178","0","*"
"","現地利用額　　　　　　　４７３．０００変換レート　　　４．６０５円","","","","","","","",""
"2025/03/22","IMM SBIA INT AS F (1利用国TH","本人","1回払い","1014","0","1014","1014","0","*"
"","現地利用額　　　　　　　２２０．０００変換レート　　　４．６１０円","","","","","","","",""
"2025/03/21","WWW.GRAB.COM利用国TH","本人","1回払い","138","0","138","138","0","*"
"","現地利用額　　　　　　　　３０．０００変換レート　　　４．６００円","","","","","","","",""
"2025/03/21","WWW.GRAB.COM利用国TH","本人","1回払い","92","0","92","92","0","*"
"","現地利用額　　　　　　　　２０．０００変換レート　　　４．６００円","","","","","","","",""
"2025/03/21","WWW.GRAB.COM利用国TH","本人","1回払い","511","0","511","511","0","*"
"","現地利用額　　　　　　　１１１．０００変換レート　　　４．６０４円","","","","","","","",""
"2025/03/21","WWW.GRAB.COM利用国TH","本人","1回払い","318","0","318","318","0","*"
"","現地利用額　　　　　　　　６９．０００変換レート　　　４．６０９円","","","","","","","",""
"2025/03/20","WWW.GRAB.COM利用国TH","本人","1回払い","483","0","483","483","0","*"
"","現地利用額　　　　　　　１０４．０００変換レート　　　４．６４５円","","","","","","","",""
"2025/03/20","WWW.GRAB.COM利用国TH","本人","1回払い","93","0","93","93","0","*"
"","現地利用額　　　　　　　　２０．０００変換レート　　　４．６５０円","","","","","","","",""
"2025/03/20","WWW.GRAB.COM利用国TH","本人","1回払い","339","0","339","339","0","*"
"","現地利用額　　　　　　　　７３．０００変換レート　　　４．６４４円","","","","","","","",""
"2025/03/20","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/20","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/20","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/20","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/20","APPLE COM BILL","本人","1回払い","480","0","480","480","0","*"
"2025/03/20","CURSOR, AI POWERED I利用国US","本人","1回払い","3113","0","3113","3113","0","*"
"","現地利用額　　　　　　　　２０．０００変換レート　１５５．６５０円","","","","","","","",""
"2025/03/20","WWW.GRAB.COM利用国TH","本人","1回払い","195","0","195","195","0","*"
"","現地利用額　　　　　　　　４２．０００変換レート　　　４．６４３円","","","","","","","",""
"2025/03/20","WWW.GRAB.COM利用国TH","本人","1回払い","93","0","93","93","0","*"
"","現地利用額　　　　　　　　２０．０００変換レート　　　４．６５０円","","","","","","","",""
"2025/03/20","WWW.GRAB.COM利用国TH","本人","1回払い","307","0","307","307","0","*"
"","現地利用額　　　　　　　　６６．０００変換レート　　　４．６５２円","","","","","","","",""
"2025/03/19","ZIPAIR TOKYO","本人","1回払い","600","0","600","600","0","*"
"2025/03/19","WWW.GRAB.COM利用国TH","本人","1回払い","1475","0","1475","1475","0","*"
"","現地利用額　　　　　　　３１８．０００変換レート　　　４．６３９円","","","","","","","",""
"2025/03/19","WWW.GRAB.COM利用国TH","本人","1回払い","120","0","120","120","0","*"
"","現地利用額　　　　　　　　２６．０００変換レート　　　４．６１６円","","","","","","","",""
"2025/03/19","ﾈﾂﾄｹｲｾｲｽｶｲﾗｲﾅ-","本人","1回払い","1300","0","1300","1300","0","*"
"2025/03/19","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","10000","0","*"
"2025/03/19","ﾏｸﾄﾞﾅﾙﾄﾞﾓﾊﾞｲﾙｵ-ﾀﾞ","本人","1回払い","850","0","850","850","0","*"
"2025/03/18","APPLE COM BILL","本人","1回払い","160","0","160","160","0","*"
"2025/03/18","APPLE COM BILL","本人","1回払い","160","0","160","160","0","*"
"2025/03/18","OTT* DROPOUT利用国US","本人","1回払い","546","0","546","546","0","*"
"","現地利用額　　　　　　　５４６．０００変換レート　　　１．０００円","","","","","","","",""
"2025/03/18","AMAZON.CO.JP","本人","1回払い","980","0","980","980","0","*"
"2025/03/18","AMAZON.CO.JP","本人","1回払い","889","0","889","889","0","*"
"2025/03/18","AMAZON DOWNLOADS","本人","1回払い","1094","0","1094","1094","0","*"
"2025/03/18","ﾀﾞｲｿ-","本人","1回払い","990","0","990","990","0","*"
"2025/03/17","ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ","本人","1回払い","330","0","330","330","0","*"
"2025/03/17","ﾒﾙｶﾘ","本人","1回払い","700","0","700","700","0","*"
"2025/03/17","ﾛｰｿﾝ","本人","1回払い","431","0","431","431","0","*"
"2025/03/16","ﾐﾁﾉｴｷｷﾀｼﾝｼﾕｳﾔﾏﾉｳ","本人","1回払い","3333","0","3333","3333","0","*"
"2025/03/16","楽天証券投信積立０．５％～","本人","1回払い","48133","0","48133","48133","0","*"
"2025/03/15","ﾔﾏﾉｷﾂﾁﾝ ｴｱｰ","本人","1回払い","450","0","450","450","0","*"
"2025/03/14","ｶﾏｸﾗﾊﾟｽﾀ ﾄﾂｶ-ﾅﾃﾝ","本人","1回払い","1340","0","1340","1340","0","*"
"2025/03/13","ｻｶﾅﾄｻｹﾊﾅﾀﾚﾄﾂｶﾃﾝ","本人","1回払い","15508","0","15508","15508","0","*"
"2025/03/12","ｶﾂﾔ ﾄﾂｶﾊﾗｼﾞﾕｸ","本人","1回払い","923","0","923","923","0","*"
"2025/03/09","ﾉｼﾞﾏ ﾄﾂｶﾓﾃﾞｲﾃﾝ","本人","1回払い","3366","0","3366","3366","0","*"
"2025/03/06","ｶﾂﾔ ﾄﾂｶﾊﾗｼﾞﾕｸ","本人","1回払い","736","0","736","736","0","*"
"2025/03/06","楽天ブロードバンド","本人","1回払い","4271","0","4271","4271","0","*"
"2025/03/05","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","10000","0","*"
"2025/03/02","ﾄﾞﾝｷﾎ-ﾃ ﾄﾂｶﾊﾗｼﾞﾕ","本人","1回払い","1396","0","1396","1396","0","*"
