年,月,営業日数,総客数,営業日当たり客数
2024,1,22,3973,180.5909090909091
2024,2,29,4212,145.24137931034483
2024,3,31,3806,122.7741935483871
2024,4,30,4493,149.76666666666668
2024,5,31,4738,152.83870967741936
2024,6,30,4153,138.43333333333334
2024,7,31,5076,163.74193548387098
2024,8,31,4727,152.48387096774192
2024,9,30,4443,148.1
2024,10,31,4663,150.41935483870967
2024,11,30,3859,128.63333333333333
2024,12,30,3231,107.7
2025,1,26,2776,106.76923076923077
2025,2,27,3228,119.55555555555556
2025,3,2,12,6.0
2025,4,30,9443,314.76666666666665
2025,5,31,7280,234.83870967741936
2025,6,8,1783,222.875
2025,7,30,6498,216.6
2025,8,31,6030,194.51612903225808
2025,9,22,4229,192.22727272727272
2025,10,31,6611,213.25806451612902
2025,11,30,6316,210.53333333333333
2025,12,22,4384,199.27272727272728
2026,1,16,3142,196.375
