月,2024年_営業日当たり客数,2025年_営業日当たり客数,総差分,最大増加曜日,曜日別最大差分,最大増加時間帯,時間帯別最大差分
1,180.5909090909091,106.76923076923077,-73.82167832167832,日,-9.333333333333329,その他,-0.3888888888888893
2,145.24137931034483,119.55555555555556,-25.68582375478927,金,-0.5,その他,4.238095238095237
3,122.7741935483871,6.0,-116.7741935483871,月,-118.25,ディナー(17-22時),-42.38709677419355
4,149.76666666666668,314.76666666666665,164.99999999999997,水,201.95,ディナー(17-22時),78.96666666666667
5,152.83870967741936,234.83870967741936,82.0,土,109.15,ディナー(17-22時),49.87096774193548
6,138.43333333333334,222.875,84.44166666666666,土,131.0,ディナー(17-22時),57.2
7,163.74193548387098,216.6,52.85806451612902,木,102.19999999999999,ディナー(17-22時),39.88817204301075
8,152.48387096774192,194.51612903225808,42.03225806451616,金,76.19999999999999,ディナー(17-22時),38.64516129032258
9,148.1,192.22727272727272,44.127272727272725,日,73.6,ディナー(17-22時),31.68484848484848
10,150.41935483870967,213.25806451612902,62.83870967741936,日,81.75,ディナー(17-22時),39.32258064516129
11,128.63333333333333,210.53333333333333,81.9,木,105.25,ディナー(17-22時),45.53333333333334
12,107.7,199.27272727272728,91.57272727272728,金,106.58333333333334,ディナー(17-22時),51.76363636363636
