月,時間グループ,2025_営業日数,2025_日当たり客数,2026_営業日数,2026_日当たり客数,差分_日当たり客数,時間順
1,12時台,,,18.0,4.888888888888889,,2
1,13時台,,,16.0,6.0,,3
1,14時台,,,12.0,6.833333333333333,,4
1,15時台,,,5.0,1.8,,5
1,16時台,,,4.0,13.25,,6
1,17時台,,,20.0,10.5,,7
1,18時台,,,22.0,13.863636363636363,,8
1,19時台,,,21.0,12.285714285714286,,9
1,20時台,,,20.0,6.4,,10
1,21時台,,,21.0,4.809523809523809,,11
1,22時以降,,,1.0,1.0,,12
3,11時前,1.0,6.0,,,,0
3,11時台,1.0,3.0,,,,1
3,12時台,1.0,1.0,,,,2
3,13時台,1.0,4.0,,,,3
3,14時台,1.0,6.0,,,,4
3,15時台,4.0,7.25,,,,5
3,16時台,3.0,4.0,,,,6
3,17時台,4.0,25.75,,,,7
3,18時台,5.0,23.0,,,,8
3,19時台,4.0,19.5,,,,9
3,20時台,5.0,34.8,,,,10
3,21時台,5.0,18.6,,,,11
3,22時以降,4.0,6.5,,,,12
4,13時台,2.0,1.5,,,,3
4,14時台,2.0,7.5,,,,4
4,15時台,3.0,8.333333333333334,,,,5
4,16時台,6.0,11.666666666666666,,,,6
4,17時台,30.0,19.666666666666668,,,,7
4,18時台,30.0,16.1,,,,8
4,19時台,29.0,17.517241379310345,,,,9
4,20時台,29.0,13.724137931034482,,,,10
4,21時台,25.0,8.16,,,,11
4,22時以降,15.0,10.2,,,,12
5,12時台,1.0,1.0,,,,2
5,13時台,4.0,2.5,,,,3
5,14時台,4.0,5.25,,,,4
5,15時台,5.0,7.8,,,,5
5,16時台,5.0,8.8,,,,6
5,17時台,30.0,13.466666666666667,,,,7
5,18時台,31.0,15.35483870967742,,,,8
5,19時台,30.0,14.4,,,,9
5,20時台,31.0,9.870967741935484,,,,10
5,21時台,29.0,5.103448275862069,,,,11
5,22時以降,9.0,4.0,,,,12
6,12時台,7.0,6.571428571428571,,,,2
6,13時台,8.0,6.875,,,,3
6,14時台,9.0,8.11111111111111,,,,4
6,15時台,7.0,5.0,,,,5
6,16時台,5.0,3.6,,,,6
6,17時台,30.0,13.833333333333334,,,,7
6,18時台,30.0,15.366666666666667,,,,8
6,19時台,30.0,13.533333333333333,,,,9
6,20時台,30.0,10.766666666666667,,,,10
6,21時台,26.0,6.538461538461538,,,,11
6,22時以降,7.0,2.2857142857142856,,,,12
7,12時台,11.0,7.0,,,,2
7,13時台,14.0,5.071428571428571,,,,3
7,14時台,11.0,4.636363636363637,,,,4
7,15時台,7.0,3.2857142857142856,,,,5
7,16時台,3.0,7.0,,,,6
7,17時台,31.0,12.161290322580646,,,,7
7,18時台,31.0,15.258064516129032,,,,8
7,19時台,31.0,15.548387096774194,,,,9
7,20時台,30.0,9.4,,,,10
7,21時台,26.0,5.115384615384615,,,,11
7,22時以降,5.0,2.4,,,,12
8,11時前,1.0,1.0,,,,0
8,11時台,1.0,1.0,,,,1
8,12時台,19.0,5.368421052631579,,,,2
8,13時台,25.0,3.92,,,,3
8,14時台,17.0,3.823529411764706,,,,4
8,15時台,7.0,3.0,,,,5
8,16時台,5.0,2.8,,,,6
8,17時台,30.0,13.166666666666666,,,,7
8,18時台,31.0,13.935483870967742,,,,8
8,19時台,31.0,13.225806451612904,,,,9
8,20時台,31.0,8.096774193548388,,,,10
8,21時台,30.0,5.966666666666667,,,,11
8,22時以降,5.0,2.2,,,,12
9,11時台,1.0,1.0,,,,1
9,12時台,19.0,3.8421052631578947,,,,2
9,13時台,17.0,4.9411764705882355,,,,3
9,14時台,20.0,2.9,,,,4
9,15時台,6.0,2.5,,,,5
9,16時台,3.0,3.0,,,,6
9,17時台,29.0,11.931034482758621,,,,7
9,18時台,30.0,13.066666666666666,,,,8
9,19時台,30.0,12.933333333333334,,,,9
9,20時台,29.0,9.03448275862069,,,,10
9,21時台,27.0,4.7407407407407405,,,,11
9,22時以降,2.0,20.0,,,,12
10,12時台,16.0,4.375,,,,2
10,13時台,20.0,3.45,,,,3
10,14時台,17.0,3.5294117647058822,,,,4
10,15時台,5.0,3.2,,,,5
10,16時台,3.0,3.0,,,,6
10,17時台,30.0,9.866666666666667,,,,7
10,18時台,31.0,13.387096774193548,,,,8
10,19時台,31.0,12.612903225806452,,,,9
10,20時台,30.0,9.566666666666666,,,,10
10,21時台,25.0,4.48,,,,11
10,22時以降,6.0,2.3333333333333335,,,,12
11,11時前,1.0,16.0,,,,0
11,12時台,16.0,4.8125,,,,2
11,13時台,17.0,4.117647058823529,,,,3
11,14時台,18.0,4.611111111111111,,,,4
11,15時台,5.0,2.2,,,,5
11,16時台,2.0,5.0,,,,6
11,17時台,29.0,12.310344827586206,,,,7
11,18時台,30.0,13.133333333333333,,,,8
11,19時台,28.0,10.964285714285714,,,,9
11,20時台,29.0,6.413793103448276,,,,10
11,21時台,25.0,6.36,,,,11
11,22時以降,5.0,1.4,,,,12
12,11時台,1.0,3.0,,,,1
12,12時台,18.0,5.722222222222222,,,,2
12,13時台,20.0,4.3,,,,3
12,14時台,20.0,4.75,,,,4
12,15時台,7.0,2.142857142857143,,,,5
12,16時台,3.0,9.333333333333334,,,,6
12,17時台,27.0,12.74074074074074,,,,7
12,18時台,27.0,14.25925925925926,,,,8
12,19時台,30.0,11.4,,,,9
12,20時台,29.0,6.448275862068965,,,,10
12,21時台,23.0,4.130434782608695,,,,11
12,22時以降,5.0,3.8,,,,12
