No,﻿タイトル,フック,解決策,エンド,処理済み
1,口コミで反論,口コミで反論したことある飲食店オーナーさんそれ閉業への第一歩踏んでますよ,反論はせずに真摯に対応している姿勢で信頼を獲得する場所です,お客様からいただいたマイナス発言はちゃんと受け止め改善に当たりましょう,TRUE
2,客単価の上げ方,客単価の上げ方をただの値上げと思ってるのであれば三流です,価値を感じていただければ価格は自然と上がります,小手先の数字を見るのではなく価値提供がされているか今一度確認して下さい,TRUE
3,低単価のお店が勝つ方法,結局安いお店は強いねん,あくまでお客様が使える金額内にマーケットを作る必要があります,お客様の財布事情を意識できない店舗からどんどん顧客離れに繋がりますよ,TRUE
4,許認可・手続き一覧（これは台本構成無視でOKです）,煩わしい開業前の手続き周り、覚えんでいいからこれだけ見といて,,,TRUE
5,賄いは税金がかかる,その脱税「知らんかった」じゃ洒落にならんで,"スタッフがまかない代の半分以上を負担している、もしくは会社の負担額が月額3,500円以下が条件です",「まかない有料にするとスタッフが定着せえへんやろ」って反論もらうことありますが、これはそもそもマネジメントに問題があるのでちゃんと税法は守りましょう,TRUE
6,自分の「やりたい」と、お店の「繁盛」は別物,やりたいことやってるうちは一生人気店にはなれません,お客様が求めてなかったらただの自己満店舗なんです,"あなたのお店お客様にとっての「使いづらい」になってませんか？
「あって良かった」と言われる店舗を作っていきましょう",TRUE
7,初期回収・返済など,投資回収期間に答えれない経営者さん、まさかいませんよね？,投資回収期間（年）＝初期投資額 ÷ 店舗の年間利益で計算できます,この期間が長いとリスクが多いので迅速な資金回収が可能な計画を立てましょう,TRUE
8,融資における最大額と自己資金,自己資金なんぼあったらええねん！に答えます,融資希望金額の1/3の自己資金は準備しておきましょう,どれだけロマンを語っても結局は事業の実現性や返済能力を一番に見られるのが融資の世界です,TRUE
9,飲食店経営者におすすめのメディア（SNS・本）,忙しいを言い訳にしてるのダサくない？,雑誌なら飲食店経営・月刊食堂・近代食堂,SNSは手前味噌ですが僕の投稿全部見ればある程度網羅はできますので今すぐチェックしておいてください,TRUE
10,肉を洗ってはいけない,お肉洗ってたら食中毒起きますよ？,開業前に保健所に行ってまずは自身の理解を深めて下さい,飲食店営業許可書は「お店やっていいよー」では無く、安全に食事を提供できることに対する許可ですからね,TRUE
11,人件費の下げ方,めんどくさっ！！ってオペレーション残してるのなんでなん？,メニュー開発時点でオペレーションや保存、仕込みの観点から作る癖をつけましょう,人件費は無理して下げる時代から、賢く仕組み化がトレンドです,TRUE
