week,category1,subtotal,quantity,構成比
2026-W07,別天地一推し,106800.0,39,45.57480583767176
2026-W07,日本酒,26060.0,11,11.1205940087053
2026-W07,ウィスキー・ジン・リキュール,19080.0,16,8.142015874370573
2026-W07,ビール・ノンアルコール,14180.0,19,6.0510369548519245
2026-W07,酒の肴,12550.0,10,5.35546641631817
2026-W07,刺身,12480.0,8,5.3255952888964755
2026-W07,プレミア限定酒（日本酒）,11800.0,3,5.035418622514295
2026-W07,焼酎,10740.0,14,4.583084407271485
2026-W07,野菜,8640.0,8,3.6869505846206367
2026-W07,温菜・揚げ物,4060.0,5,1.7325253904583084
2026-W07,サワー,3340.0,4,1.4252795084065886
2026-W07,ソフトドリンク,2840.0,5,1.2119143125373388
2026-W07,果実酒,1770.0,2,0.7553127933771444
2026-W07,2H 海老蟹しゃぶしゃぶ,0.0,27,0.0
2026-W07,2H　黒毛しゃぶしゃぶコース 6480,0.0,6,0.0
2026-W07,2H　黒毛ステーキコース,0.0,77,0.0
2026-W07,2H　黒毛ステーキコース 7980,0.0,88,0.0
2026-W07,3H　鮪ほほステーキコース 5480,0.0,94,0.0
2026-W07,3H　黒毛すき焼きコース 6480,0.0,18,0.0
2026-W07,サービス,0.0,6,0.0
2026-W07,別天地コース,0.0,88,0.0
2026-W07,単品ドリンク,0.0,1,0.0
2026-W07,松・飲み放題（コース内）,0.0,47,0.0
2026-W07,飲放　お茶割り,0.0,9,0.0
2026-W07,飲放　ジン・ハイボール,0.0,63,0.0
2026-W07,飲放　ソフドリ,0.0,7,0.0
2026-W07,飲放　果実酒,0.0,3,0.0
2026-W07,飲放　焼酎・日本酒,0.0,5,0.0
