year_week,category1,subtotal,quantity,構成比
2025-W42,コース&セット,138000.0,19,23.39379555856925
2025-W42,オリジナルカクテル,74700.0,42,12.663163248008136
2025-W42,ジャパニーズカクテル,54600.0,29,9.255806068825224
2025-W42,ウイスキー（ハイボール・ボトル・オリジナル）,44200.0,33,7.492795389048991
2025-W42,その他,39400.0,82,6.679098152229192
2025-W42,ビール,36700.0,31,6.221393456518054
2025-W42,ウイスキー,34000.0,21,5.763688760806916
2025-W42,ご飯もの,30400.0,18,5.153415833192066
2025-W42,ノンアルコールカクテル,28800.0,19,4.8821834209188
2025-W42,ワイン（グラス）,20700.0,15,3.5090693337853875
2025-W42,アラカルト,20300.0,13,3.4412612307170707
2025-W42,黒板メニュー,16200.0,10,2.746228174266825
2025-W42,ジャパニーズウイスキー,15900.0,7,2.6953720969655874
2025-W42,スナック,9600.0,11,1.6273944736395998
2025-W42,ワイン,8000.0,1,1.3561620613663334
2025-W42,日本酒,6800.0,4,1.1527377521613833
2025-W42,ソフトドリンク,4800.0,6,0.8136972368197999
2025-W42,サラダ,2600.0,2,0.44075266994405826
2025-W42,カクテル,1500.0,1,0.25428038650618745
2025-W42,ジン,1500.0,1,0.25428038650618745
2025-W42,デザート,1200.0,1,0.20342430920494997
2025-W42,未設定,0.0,17,0.0
